rank,mcode,major,cat,tot,men,wom,pctmen,pctwom,womsal,medsal,dif
60,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,25965,10787,15178,0.415443867,0.584556133,35600,52000,16400
47,1401,ARCHITECTURE,Engineering,46420,25463,20957,0.548535114,0.451464886,40000,63000,23000
62,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035,11431,6604,0.633823122,0.366176878,35000,50000,15000
31,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,27392,9306,0.746416698,0.253583302,45000,65000,20000
42,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168,3046,1122,0.730806142,0.269193858,41300,60000,18700
19,2102,COMPUTER SCIENCE,Computers & Mathematics,128319,99743,28576,0.777304998,0.222695002,53000,78000,25000
30,2105,INFORMATION SCIENCES,Computers & Mathematics,11913,9005,2908,0.755896919,0.244103081,45000,68000,23000
53,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066,6607,1459,0.819117282,0.180882718,37500,55000,17500
56,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613,5291,2322,0.694995403,0.305004597,36400,55000,18600
17,2400,GENERAL ENGINEERING,Engineering,61152,45683,15469,0.747040162,0.252959838,56000,75000,19000
9,2401,AEROSPACE ENGINEERING,Engineering,15058,12953,2105,0.860207199,0.139792801,60000,80000,20000
15,2402,BIOLOGICAL ENGINEERING,Engineering,8925,6062,2863,0.679215686,0.320784314,57100,62000,4900
18,2403,ARCHITECTURAL ENGINEERING,Engineering,2825,1835,990,0.649557522,0.350442478,54000,78000,24000
13,2404,BIOMEDICAL ENGINEERING,Engineering,14955,8407,6548,0.562153126,0.437846874,60000,65000,5000
6,2405,CHEMICAL ENGINEERING,Engineering,32260,21239,11021,0.658369498,0.341630502,65000,86000,21000
23,2406,CIVIL ENGINEERING,Engineering,53153,41081,12072,0.772882057,0.227117943,50000,78000,28000
11,2407,COMPUTER ENGINEERING,Engineering,41542,33258,8284,0.800587357,0.199412643,60000,80000,20000
10,2408,ELECTRICAL ENGINEERING,Engineering,81527,65511,16016,0.803549744,0.196450256,60000,88000,28000
14,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,3526,795,0.816014811,0.183985189,58000,65000,7000
26,2410,ENVIRONMENTAL ENGINEERING,Engineering,4047,2662,1385,0.657771189,0.342228811,50000,70000,20000
25,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720,488,232,0.677777778,0.322222222,50000,85000,35000
16,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,12453,6515,0.656526782,0.343473218,57000,75000,18000
21,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993,2020,973,0.674908119,0.325091881,52000,78000,26000
8,2414,MECHANICAL ENGINEERING,Engineering,91227,80320,10907,0.880441097,0.119558903,60000,80000,20000
3,2415,METALLURGICAL ENGINEERING,Engineering,856,725,131,0.846962617,0.153037383,73000,96000,23000
2,2416,MINING AND MINERAL ENGINEERING,Engineering,756,679,77,0.898148148,0.101851852,75000,92000,17000
4,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,1123,135,0.892686804,0.107313196,70000,97000,27000
5,2418,NUCLEAR ENGINEERING,Engineering,2573,2200,373,0.855033035,0.144966965,65000,95000,30000
1,2419,PETROLEUM ENGINEERING,Engineering,2339,2057,282,0.879435656,0.120564344,110000,125000,15000
22,2499,MISCELLANEOUS ENGINEERING,Engineering,9133,7398,1735,0.810029563,0.189970437,50000,70000,20000
24,2500,ENGINEERING TECHNOLOGIES,Engineering,3600,2695,905,0.748611111,0.251388889,50000,63000,13000
39,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906,2400,506,0.825877495,0.174122505,44000,74000,30000
20,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,8181,3384,0.707392996,0.292607004,52000,67000,15000
28,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631,3477,1154,0.75080976,0.24919024,46000,70000,24000
44,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790,4419,371,0.922546973,0.077453027,40000,60000,20000
45,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804,7043,1761,0.799977283,0.200022717,40000,63000,23000
71,3600,BIOLOGY,Biology & Life Science,280709,111762,168947,0.398141848,0.601858152,33400,51000,17600
54,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,39107,18951,20156,0.484593551,0.515406449,37400,53000,15600
55,3602,BOTANY,Biology & Life Science,1329,626,703,0.47103085,0.52896915,37000,50000,13000
49,3603,MOLECULAR BIOLOGY,Biology & Life Science,18300,7426,10874,0.40579235,0.59420765,40000,45000,5000
72,3604,ECOLOGY,Biology & Life Science,9154,3878,5276,0.423639939,0.576360061,33000,47500,14500
48,3605,GENETICS,Biology & Life Science,3635,1761,1874,0.484456671,0.515543329,40000,48000,8000
52,3606,MICROBIOLOGY,Biology & Life Science,15232,6383,8849,0.419051996,0.580948004,38000,60000,22000
36,3607,PHARMACOLOGY,Biology & Life Science,1762,515,1247,0.292281498,0.707718502,45000,60000,15000
64,3608,PHYSIOLOGY,Biology & Life Science,22060,8422,13638,0.381776972,0.618223028,35000,50000,15000
76,3609,ZOOLOGY,Biology & Life Science,8409,3050,5359,0.362706624,0.637293376,26000,55000,29000
65,3611,NEUROSCIENCE,Biology & Life Science,13663,4944,8719,0.36185318,0.63814682,35000,35000,0
69,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,10706,4747,5959,0.443396226,0.556603774,33500,52000,18500
34,3700,MATHEMATICS,Computers & Mathematics,72397,39956,32441,0.551901322,0.448098678,45000,66000,21000
33,3701,APPLIED MATHEMATICS,Computers & Mathematics,4939,2794,2145,0.565701559,0.434298441,45000,70000,25000
35,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251,2960,3291,0.473524236,0.526475764,45000,70000,25000
67,4002,NUTRITION SCIENCES,Health,18909,2563,16346,0.135543921,0.864456079,35000,49500,14500
40,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609,500,109,0.821018062,0.178981938,42000,92000,50000
43,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,3831,1667,2164,0.43513443,0.56486557,41000,53000,12000
46,5000,PHYSICAL SCIENCES,Physical Sciences,1436,894,542,0.622562674,0.377437326,40000,60000,20000
7,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792,832,960,0.464285714,0.535714286,62000,80000,18000
61,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,4043,2744,1299,0.678703933,0.321296067,35000,60000,25000
51,5003,CHEMISTRY,Physical Sciences,66530,32923,33607,0.494859462,0.505140538,39000,59000,20000
57,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,10972,5813,5159,0.529803135,0.470196865,36200,65000,28800
58,5005,GEOSCIENCES,Physical Sciences,1978,809,1169,0.408998989,0.591001011,36000,57000,21000
38,5006,OCEANOGRAPHY,Physical Sciences,2418,752,1666,0.311000827,0.688999173,44700,55000,10300
32,5007,PHYSICS,Physical Sciences,32142,23080,9062,0.718063593,0.281936407,45000,70000,25000
12,5008,MATERIALS SCIENCE,Engineering,4279,2949,1330,0.689179715,0.310820285,60000,75000,15000
63,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,62052,27015,35037,0.435360665,0.564639335,35000,56000,21000
29,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,2116,528,1588,0.24952741,0.75047259,46000,62000,16000
74,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,33599,7574,26025,0.225423376,0.774576624,32400,50000,17600
75,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,1225,37054,0.032001881,0.967998119,28000,42000,14000
66,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,18109,4266,13843,0.235573472,0.764426528,35000,50000,15000
41,6104,MEDICAL ASSISTING SERVICES,Health,11123,803,10320,0.072192754,0.927807246,42000,55000,13000
37,6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914,3916,11998,0.24607264,0.75392736,45000,60000,15000
70,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,12740,5521,7219,0.433359498,0.566640502,33500,50000,16500
27,6107,NURSING,Health,209394,21773,187621,0.103981012,0.896018988,48000,62000,14000
50,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551,8697,14854,0.369283682,0.630716318,40000,106000,66000
73,6109,TREATMENT THERAPY PROFESSIONS,Health,48491,13487,35004,0.278134087,0.721865913,33000,61000,28000
68,6110,COMMUNITY AND PUBLIC HEALTH,Health,19735,4103,15632,0.207904738,0.792095262,34000,47000,13000
